career_path_code,career_path_name,career_path_description,career_path_kind,career_path_is_global,source_url
CP-RISK-VERT-01,Risk Management Vertical Ladder,"Vertical progression within Risk Management from Risk Analyst to Senior Risk Analyst, Risk Manager, Head of Risk and Chief Risk Officer; deepens market, credit, operational and liquidity risk expertise level by level.",VERTICAL,false,https://300hours.com/risk-management-career-path/
CP-RISK-SPEC-01,Operational Risk Specialist Track,"Specialist track concentrating in operational risk, expanding into cyber risk and environmental/climate risk; values event-risk identification, event reporting and risk-appetite frameworks over people management.",SPECIALIST,false,https://www.efinancialcareers.com/news/risk-job-investment-bank
CP-RISK-TREAS-LAT-01,Treasury to Liquidity Risk Lateral Move,"Lateral path between Treasury and Liquidity Risk Management leveraging fungible skill sets; frequent movement in both directions as cash-flow, funding and liquidity-risk competencies transfer.",LATERAL,false,https://www.efinancialcareers.com/news/risk-job-investment-bank
CP-TREAS-VERT-01,Treasury Management Vertical Ladder,"Vertical progression in Treasury from Treasury Analyst to Treasury Manager, Head of Treasury and Group Treasurer; builds expertise in cash flow, liquidity and investment strategy.",VERTICAL,false,https://corporatefinanceinstitute.com/resources/career-map/
CP-WM-VERT-01,Wealth Management Advisory Ladder,"Vertical advisory progression from Junior Wealth Advisor to Wealth Manager, Senior Private Banker and Head of Wealth Management serving high-net-worth clients with investment, estate and tax planning.",VERTICAL,false,https://www.indeed.com/career-advice/career-development/career-paths-banking
CP-WM-BIZDEV-LAT-01,Wealth Management to Business Development,"Lateral move from Wealth Management into Business Development, reusing strong client-relationship skills to drive origination and commercial growth.",LATERAL,false,https://corporatefinanceinstitute.com/resources/career-map/
CP-COMM-RISK-LAT-01,Commercial Banking to Risk Management,"Lateral transition from Commercial Banking into Risk Management; commercial bankers with strong credit-risk understanding move into the credit-risk function.",LATERAL,false,https://corporatefinanceinstitute.com/resources/career-map/
CP-RETAIL-VERT-01,Retail Banking Branch Ladder,"Vertical retail-banking progression from Teller/Customer Service Officer to Relationship Manager, Branch Manager and Regional Manager.",VERTICAL,false,https://www.indeed.com/career-advice/career-development/career-paths-banking
CP-COMM-CREDIT-VERT-01,Commercial Credit Vertical Ladder,"Vertical commercial-banking credit ladder from Credit Analyst to Senior Credit Analyst, Relationship Manager and Head of Commercial Banking.",VERTICAL,false,https://corporatefinanceinstitute.com/resources/career-map/
CP-IB-MGR-01,Investment Banking Managerial Track,"Classic investment-banking managerial ladder: Analyst to Associate, Vice President, Director and Managing Director, with increasing deal leadership and team management.",MANAGERIAL,false,https://corporatefinanceinstitute.com/resources/career-map/
CP-COMPL-VERT-01,Compliance Officer Vertical Ladder,"Vertical compliance progression from Compliance Analyst to Compliance Officer, Compliance Manager and Head of Compliance.",VERTICAL,false,https://www.bankersbyday.com/banking-career-compliance-officer/
CP-COMPL-RISK-LAT-01,Compliance to Risk Lateral Move,"Lateral move from Compliance into Risk Officer or Internal Auditor roles, leveraging shared governance and control knowledge.",LATERAL,false,https://www.bankersbyday.com/banking-career-compliance-officer/
CP-AUDIT-VERT-01,Internal Audit Vertical Ladder,"Vertical internal-audit progression from Internal Auditor to Audit Manager, Director of Internal Audit and Chief Audit Executive.",VERTICAL,false,https://www.bankersbyday.com/banking-careers-internal-audit/
CP-AUDIT-CFO-CROSS-01,Internal Audit to Finance Leadership,"Cross-functional path leveraging internal-audit foundation in operations, risk and governance to move into Controller, CFO or Compliance Officer leadership roles.",CROSS_FUNCTIONAL,false,https://www.roberthalf.com/us/en/insights/career-development/4-reasons-to-follow-a-career-path-to-internal-auditing
CP-IT-ENGMGR-01,Software Engineering Management Track,"Managerial track from Software Engineer to Tech Lead and Engineering Manager, shifting focus to people and team management of technical staff.",MANAGERIAL,false,https://www.coursera.org/articles/it-career-paths-how-to-get-started
CP-IT-ARCH-SPEC-01,IT Architecture Specialist Track,"Specialist (individual-contributor) architecture track: Junior IT Architect to IT Architect, Senior IT Architect and Chief IT Architect; deep technical mastery instead of people management.",SPECIALIST,false,https://4dayweek.io/career-path/it-architect
CP-IT-DISTENG-SPEC-01,Distinguished Engineer Technical Track,"Specialist technical track to Distinguished Engineer: non-manager senior IC who mentors and strengthens the engineering community's technical expertise.",SPECIALIST,false,https://www.capitalonecareers.com/creating-a-tech-first-career-path-tech-cdev
