code,name,objective_category,objective_weight_pct,threshold_achievement_pct,target_achievement_pct,maximum_achievement_pct,payout_curve_kind,payout_cap_pct,role_multiplier,company_modifier,bonus_pool_scope,required_reward_gates,measurement_unit,polarity,description,source_url
ORR_FIN_DEPOSIT_GROWTH,Core Deposit Growth Reward Rule,FINANCIAL,20,80,100,120,STEPPED,130,1.00,1.00,ORG_UNIT,"COMPLIANCE_GATE,CONDUCT_GATE",percent,HIGHER_IS_BETTER,Rewards branch core-deposit balance growth vs annual operating plan target; capped at 130% to avoid rewarding aggressive rate-chasing.,https://www.salarycube.com/compensation/top-strategies-for-optimizing-variable-compensation-plans
ORR_FIN_NET_INCOME,Net Income Achievement Reward Rule,FINANCIAL,25,80,100,120,LINEAR,150,1.00,1.00,TENANT,"COMPLIANCE_GATE,RISK_GATE",currency,HIGHER_IS_BETTER,Links variable pay to branch/business-unit net income against the annual operating plan; company modifier scales pool by enterprise result.,https://www.everstage.com/incentive-compensation/annual-incentive-compensation-plan
ORR_FIN_COST_INCOME,Cost-to-Income Ratio Reward Rule,FINANCIAL,10,80,100,120,CAPPED,120,1.00,1.00,ORG_UNIT,COMPLIANCE_GATE,percent,LOWER_IS_BETTER,Rewards efficiency improvement (lower cost-to-income); inverted achievement since lower ratio is better.,https://bscdesigner.com/bank-kpis.htm
ORR_FIN_NIM,Net Interest Margin Reward Rule,FINANCIAL,10,85,100,115,LINEAR,120,1.00,1.00,ORG_UNIT,RISK_GATE,percent,HIGHER_IS_BETTER,Rewards net interest margin performance vs target; risk gate guards against margin gains from imprudent maturity transformation.,https://bscdesigner.com/bank-kpis.htm
ORR_RISK_NPL_RATIO,Loan Portfolio Quality (NPL Ratio) Reward Rule,RISK,15,80,100,120,STEPPED,120,1.00,1.00,ORG_UNIT,"RISK_GATE,AUDIT_FINDING_GATE",percent,LOWER_IS_BETTER,Rewards keeping the nonperforming-loan ratio at/below target; lower-is-better objective central to credit-quality alignment.,https://bscdesigner.com/bank-kpis.htm
ORR_RISK_NCO_RATE,Net Charge-off Rate Reward Rule,RISK,8,80,100,120,CAPPED,110,1.00,1.00,ORG_UNIT,"RISK_GATE,AUDIT_FINDING_GATE",percent,LOWER_IS_BETTER,Rewards containment of net charge-off rate; ex-post malus applies if losses crystallise after payout per risk-adjustment guidance.,https://www.eba.europa.eu/sites/default/files/document_library/Publications/Guidelines/2021/1016720/Draft%20Final%20report%20on%20GL%20on%20remuneration%20policies%20under%20CRD.pdf
ORR_RISK_TIER1_CAPITAL,Tier 1 Capital Ratio Stewardship Reward Rule,RISK,5,90,100,110,CAPPED,110,1.00,1.00,TENANT,"RISK_GATE,COMPLIANCE_GATE",percent,HIGHER_IS_BETTER,Rewards maintaining the Tier 1 capital ratio above regulatory and internal targets; tight cap to discourage gaming.,https://bscdesigner.com/bank-kpis.htm
ORR_CUST_NPS,Customer Satisfaction / NPS Reward Rule,CUSTOMER,12,80,100,120,SIGMOID,130,1.00,1.00,ORG_UNIT,"CONDUCT_GATE,CUSTOMER_HARM_GATE",score,HIGHER_IS_BETTER,Rewards Net Promoter Score / customer satisfaction gains; customer-harm gate blocks payout where complaints or mis-selling are evidenced.,https://www.bentega.io/kpis-and-metrics
ORR_CUST_RETENTION,Customer Retention Rate Reward Rule,CUSTOMER,10,85,100,115,LINEAR,120,1.00,1.00,ORG_UNIT,"CONDUCT_GATE,CUSTOMER_HARM_GATE",percent,HIGHER_IS_BETTER,Rewards retention of the existing customer base against target; conduct gate guards against retention via undisclosed fee traps.,https://www.solverglobal.com/blog/glossary/balanced-scorecard-report-for-bank-branches
ORR_CUST_CROSS_SELL,Cross-Sell / Product Penetration Reward Rule,CUSTOMER,10,80,100,120,STEPPED,120,1.00,1.00,ORG_UNIT,"CONDUCT_GATE,CUSTOMER_HARM_GATE",ratio,HIGHER_IS_BETTER,Rewards products-per-customer cross-sell ratio; gated heavily after industry mis-selling lessons to prevent unsuitable product pushing.,https://www.rightanglesol.com/how-bsc-methodology-empower-bank-managers-to-optimize-branch-performance-with-kpis/
ORR_CUST_PENETRATION,New Customer Acquisition Reward Rule,CUSTOMER,8,80,100,120,LINEAR,120,1.00,1.00,ORG_UNIT,"CONDUCT_GATE,CUSTOMER_HARM_GATE",percent,HIGHER_IS_BETTER,Rewards new-customer penetration against the branch acquisition target.,https://www.strategy2act.com/solutions/retail_banking_excel.htm
ORR_PROC_FEE_TRANSPARENCY,Fee Transparency Operations Reward Rule,INTERNAL_PROCESS,5,90,100,110,CAPPED,110,1.00,1.00,ORG_UNIT,"CONDUCT_GATE,COMPLIANCE_GATE",percent,HIGHER_IS_BETTER,Rewards share of operations with fees disclosed beforehand; supports treating-customers-fairly conduct standards.,https://bscdesigner.com/bank-kpis.htm
ORR_PROC_CYBER_READINESS,Cybersecurity Readiness Reward Rule,INTERNAL_PROCESS,5,90,100,110,CAPPED,110,1.00,1.00,TENANT,"COMPLIANCE_GATE,AUDIT_FINDING_GATE",score,HIGHER_IS_BETTER,Rewards progress on the cybersecurity readiness framework score; audit-finding gate suppresses payout on open critical findings.,https://bscdesigner.com/bank-kpis.htm
ORR_PROC_DIGITAL_ADOPTION,Digital Channel Adoption Reward Rule,INTERNAL_PROCESS,6,80,100,120,LINEAR,120,1.00,1.00,ORG_UNIT,CONDUCT_GATE,percent,HIGHER_IS_BETTER,Rewards migration of transactions to digital channels vs target; conduct gate guards against forced digital migration of vulnerable customers.,https://www.rhythmsystems.com/blog/kpi-examples-list
ORR_COMPL_AML_ACCURACY,AML/KYC Case Accuracy Reward Rule,COMPLIANCE,8,90,100,110,CAPPED,110,1.00,1.00,ORG_UNIT,"COMPLIANCE_GATE,AUDIT_FINDING_GATE",percent,HIGHER_IS_BETTER,Rewards accuracy/timeliness of AML-KYC case handling; a failed compliance gate hard-blocks the entire variable payout.,https://www.eba.europa.eu/sites/default/files/document_library/Publications/Guidelines/2021/1016720/Draft%20Final%20report%20on%20GL%20on%20remuneration%20policies%20under%20CRD.pdf
ORR_COMPL_REG_BREACHES,Regulatory Breach Avoidance Reward Rule,COMPLIANCE,6,100,100,100,CAPPED,100,1.00,1.00,TENANT,"COMPLIANCE_GATE,AUDIT_FINDING_GATE",count,LOWER_IS_BETTER,Binary-style rule: zero material regulatory breaches required to earn any payout on this objective; pure gating component.,https://www.eba.europa.eu/sites/default/files/document_library/Publications/Guidelines/2021/1016720/Draft%20Final%20report%20on%20GL%20on%20remuneration%20policies%20under%20CRD.pdf
ORR_CONDUCT_COMPLAINTS,Conduct & Complaints Reward Rule,COMPLIANCE,5,80,100,120,STEPPED,110,1.00,1.00,ORG_UNIT,"CONDUCT_GATE,CUSTOMER_HARM_GATE",count,LOWER_IS_BETTER,Rewards low upheld-complaint volume; conduct and customer-harm gates make this a primary risk-adjustment lever.,https://www.bankdirector.com/article/do-pay-for-performance-plans-work/
ORR_LG_TRAINING_HOURS,Mandatory Training Completion Reward Rule,LEARNING_GROWTH,4,100,100,100,CAPPED,100,1.00,1.00,ORG_UNIT,TRAINING_GATE,percent,HIGHER_IS_BETTER,Requires 100% completion of mandatory compliance/conduct training; feeds the TRAINING_GATE that blocks payout when incomplete.,https://bscdesigner.com/bank-kpis.htm
ORR_LG_CERTIFICATION,Role Certification Currency Reward Rule,LEARNING_GROWTH,4,100,100,100,CAPPED,100,1.00,1.00,ORG_UNIT,CERTIFICATION_GATE,percent,HIGHER_IS_BETTER,Requires current role-required certifications (e.g. MiFID/IDD advice licences); drives the CERTIFICATION_GATE.,https://bscdesigner.com/bank-kpis.htm
ORR_LG_ENGAGEMENT,Employee Engagement Reward Rule,LEARNING_GROWTH,4,80,100,115,SIGMOID,115,1.00,1.00,ORG_UNIT,CONDUCT_GATE,percent,HIGHER_IS_BETTER,Rewards team engagement / culture survey score improvement vs target.,https://bscdesigner.com/bank-kpis.htm
ORR_STRAT_ESG_LENDING,Sustainable / ESG Lending Reward Rule,STRATEGIC,5,80,100,120,LINEAR,120,1.00,1.00,TENANT,"COMPLIANCE_GATE,RISK_GATE",percent,HIGHER_IS_BETTER,Rewards growth in sustainable/ESG-aligned lending share against the strategic transition target.,https://www.qobra.co/blog/annual-incentive
