area,page,mapverify,final,verdict,endpoints,tables,gap,adv_reason
Identity & Users,users,LIVE,LIVE,CONFIRMED,GET /v1/users,"sys.sys_users | sys.sys_user_auth_roles (role grants, not shown in list)",,"Adversarial code review found NO fakery: apps/web/src/app/(authenticated)/users/page.tsx:26-29 uses useQuery -> apiFetch<UsersList>('/v1/users') with no initialData/placeholderData and rows={users.data?.items ?? []} (line 60) — the only fallback is an empty array (real empty-state), not mock rows. The 4 rendered columns (name/email/status/type, lines 34-43) all map to USER_COLS read by users/repository.ts listUsers() (SELECT user_id,...,user_status,user_type FROM sys.sys_users, lines 121-128), tenant filter applied via filter.tenantId. psql RTL tenant 86ba7a65-217f-48ba-8ce5-5c09b40a66b0: total=158, email=158, dname=158, status=158, type=158 (100% populated). PLATFORM_ADMIN (no tenant filter) sees 162. List renders 158 real rows."
Identity & Users,users/[userId],LIVE,LIVE,CONFIRMED,GET /v1/users/:userId,sys.sys_users,,"[userId]/page.tsx:34-38 useQuery -> apiFetch<UserDetail>(`/v1/users/${userId}`), enabled:!!userId, no mock/initialData. Detail fields (lines 81-88: userId/tenantId/status/type/locale/timezone/synthetic/createdAt) all sourced from findUserById() SELECT USER_COLS FROM sys.sys_users WHERE user_id=$1 (repository.ts:137-141). psql RTL: locale=158/158, timezone=158/158, synthetic_true=0, synthetic_false=158 (every row is real, not synthetic). Every detail field backed by a populated column."
Identity & Users,me/profile,PARTIAL,PARTIAL,CONFIRMED,GET /v1/me/profile | PATCH /v1/me/profile | GET /v1/me/preferences | PATCH /v1/me/preferences,sys.sys_users | sys.sys_user_profiles | sys.sys_user_preferences,sys_user_profiles.user_profile_linkedin_uri is 0/156 NULL and user_profile_bio is 1/156 -> the LinkedIn and Bio inputs on /me/profile are effectively empty for every RTL user; phone/displayName/locale/timezone are real.,"profile/page.tsx:114-117 reads /v1/me/profile + useMyPreferences (line 51) — no hard-coded initialData; form values come from profile.data with `?? ''` fallbacks only (lines 129-136), which is genuine empty-rendering, not fake data. loadProfile() (me/repository.ts:76-109) reads sys.sys_users (displayName/locale/timezone) + sys.sys_user_profiles (bio/phone/linkedinUri). psql RTL sys_user_profiles: total=156, bio_nonempty=1/156, linkedin=0/156 (and 0/157 across ALL tenants — no alternative populated source exists, I checked), phone=155/156. sys_users locale/timezone=158/158. So the Bio and LinkedIn inputs render '' for effectively every user; displayName/locale/timezone/phone are real. Auditor's PARTIAL + gap_note are accurate. loadPreferences falls back to ME_PREFERENCE_DEFAULTS (repository.ts:962-968) when no row — that is a real server-side default, not page-level mock."
Identity & Users,me/security,LIVE,LIVE,CONFIRMED,"GET /v1/auth/mfa/factors | GET /v1/me/security/sessions | GET /v1/auth/sessions/current | POST /v1/auth/mfa/enroll (+verify-setup, email-otp, sms-otp, webauthn, enroll-confirm) | DELETE /v1/auth/mfa/factors/:id | DELETE /v1/me/security/sessions/:familyId | POST /v1/me/security/sessions/revoke-others",sys.sys_auth_mfa_factors | sys.sys_auth_refresh_tokens | sys.sys_auth_mfa_otp_challenges (write-path) | sys.sys_auth_mfa_recovery_codes (write-path) | sys.sys_auth_mfa_webauthn_credentials (write-path),"MFA factors table holds only the 6 enrolled personas (expected: factors are self-enrolled, not seeded broadly). Refresh-token table is heavily populated (47k rows / 25.8k active RTL families) from repeated test logins.","security/page.tsx: factors useQuery('/v1/auth/mfa/factors', line 69), sessions useQuery('/v1/me/security/sessions', line 299), current-family useQuery('/v1/auth/sessions/current', line 303) — all live apiFetch, zero initialData/mock. Verified backing SQL: mfa-repository.ts:138-144 listMfaFactorsForUser = SELECT * FROM sys.sys_auth_mfa_factors WHERE auth_mfa_factor_user_id=$1; auth/repository.ts:568-590 listActiveSessions GROUPs BY auth_refresh_token_family_id filtered on used_at IS NULL AND revoked_at IS NULL AND expires_at>now(), scoped to user_id=$1. psql: sys_auth_mfa_factors total=6, verified=6, distinct_users=6 — the 6 seeded login personas (admin@heuresys.com + federica/antonio/marco/paolo/tommaso @rtl-bank.org), all TOTP verified. paolo has 5818 active refresh-token families. The 6-row factor count is correct live state (factors are self-enrolled, not seeded broadly); the empty-state branch (line 434) is real. A logged-in persona sees a real verified factor + a real session list."
Identity & Users,me/positions,LIVE,LIVE,CONFIRMED,GET /v1/me/positions,sys.sys_user_position_assignments | sys.sys_positions,,"positions/page.tsx:28-31 useQuery -> apiFetch<MePositionsList>('/v1/me/positions'), rows={positions.data?.items ?? []} (line 61) — no initialData/mock, only real empty-array fallback. listMyPositions() (me/repository.ts:151-191) SELECTs a.user_position_assignment_id, p.position_code, p.position_title, (kind='PRIMARY') AS is_primary, status, start/end_date FROM sys.sys_user_position_assignments a JOIN sys.sys_positions p, scoped WHERE a.user_position_assignment_user_id=$1. psql RTL JOIN: total=158, primary_cnt=158, code=158/158, title=158/158 non-null. paolo.caputo persona = 1 real PRIMARY ACTIVE row (POS-00000378 'Operations Director'). Every RTL user has a real PRIMARY assignment with code+title."
Org & Positions,organization,LIVE,LIVE,CONFIRMED,GET /v1/organization-units?limit=200,sys.sys_organization_units,,"Page reads exclusively from GET /v1/organization-units?limit=200 via apiFetch (page.tsx:31); zero initialData/placeholderData/mock (grep clean across the tree). Repo organization-units listOus SELECTs sys.sys_organization_units filtered by organization_unit_tenant_id (tenant scope, no zeroing). Independent psql re-count for RTL Bank (86ba7a65-...): total=23, active=23, type_notnull=23, parent_notnull=22 (1 root), name_notnull=23. Every displayed column (code/name/type/parent/isActive) real and populated. Verdict stands."
Org & Positions,organization/org-chart,LIVE,LIVE,CONFIRMED,GET /v1/visualization-graphs?type=ORG_CHART&limit=10 | GET /v1/visualization-graphs/{graphId}/render,sys.sys_visualization_graphs | sys.sys_visualization_nodes | sys.sys_visualization_edges,Un solo grafo ORG_CHART per il tenant (count=1); il picker mostra 1 bottone. Non e' un buco dati.,"Page (org-chart/page.tsx:39-50) reads GET /v1/visualization-graphs?type=ORG_CHART (real ?type filter — code comment confirms the old ?graphKind bug is fixed) + /{graphId}/render. findGraphRender (repository.ts:87) loads nodes from sys_visualization_nodes (node_label) and edges from sys_visualization_edges by node_graph_id. No mock/initialData. Independent psql: exactly 1 ORG_CHART graph for RTL ('RTL Bank — Organigramma' 325ecb42-..., is_active=true) with nodes=158 (labeled=158, all non-empty), edges=157. ECharts force-graph fed live data. The single-graph picker is correct, not a data hole."
Org & Positions,positions,LIVE,LIVE,CONFIRMED,GET /v1/positions,sys.sys_positions,,"Page reads GET /v1/positions via apiFetch (page.tsx:32), no mock/fallback. listPositions (repository.ts:85) SELECTs sys.sys_positions tenant-filtered. Independent psql for RTL: total=158, active=158, criticality_notnull=158 (the criticality column shown is 100% populated). List columns (code/title/criticality/isActive) all real. Verdict stands."
Org & Positions,positions/[positionId],PARTIAL,PARTIAL,CONFIRMED,GET /v1/positions/{positionId},sys.sys_positions,"position_economic_weight = 0/158 non-NULL per RTL Bank: il campo 'Peso economico' nella scheda posizione renderizza sempre il placeholder dash, mai un valore reale.","Confirmed AND strengthened. findPositionById (repository.ts:122) SELECTs real sys.sys_positions; detail FieldGrid ([positionId]/page.tsx:91) renders economicWeight ?? dash. Independent psql RTL: econweight_notnull=0/158, orgunit=157, jobrole=158, owner=157, reportsto=157 — matches auditor. NEW EVIDENCE: economic_weight is 0 NOT ONLY for RTL but across ALL tenants (Heuresys System 0/4 + RTL 0/158) — the column is GLOBALLY NULL, never populated by any seed anywhere. So 'Peso economico' always renders the placeholder dash for every position in the whole DB, not just RTL. Page is live but one displayed central field is universally empty. PARTIAL is correct."
Org & Positions,org-director,LIVE,LIVE,CONFIRMED,GET /v1/capability/composition?subjectType=ORG_UNIT | GET /v1/capability/maturity,sys.sys_capability_scores | sys.sys_capability_maturity_scores | sys.sys_organization_units,Gli score ORG_UNIT sono 20 mentre gli org_units totali sono 23: il motore MLCE emette score solo per le OU con posizioni/incumbent → la console org-director copre 20/23 unita' (le 3 OU senza incumbent non compaiono). Copertura parziale ma non empty.,"Page (org-director/page.tsx:74-95) reads GET /v1/capability/composition?subjectType=ORG_UNIT + /v1/capability/maturity, joins them in-memory (no mock/initialData; grep clean). Service is tenant-scoped (service.ts:48-50: PLATFORM=null else actor.tenantId or ForbiddenError) — independent psql confirms ORG_UNIT scores exist for ONLY the RTL tenant (20), no cross-tenant leak. Re-counts match exactly: cap_scores ORG_UNIT=20 all value>0 (min 88.34), maturity=20 (level_notnull=20, distinct_ou=20). Data is real, persisted, fresh (last compute 2026-06-22 05:36). LIVE stands. CAVEAT — the auditor's gap_note REASON is factually wrong: the 3 OUs missing from the 20/23 are NOT all 'senza incumbent'. psql proves 'Divisione Human Resources' HAS an active position 'HR Director' (d2555156-...) WITH 1 PRIMARY-ACTIVE incumbent (user 15c601d0-...), yet is unscored. Root cause is that HR Director has 0 sys_position_skill_requirements → the MLCE EMPLOYEE leaf yields zero weight-mass → the OU aggregates to totalMass<=0 and is omitted (the POSITION subject itself is also unscored, count=0). So the real coverage hole is 'OUs whose positions lack skill requirements', not 'OUs without incumbents'. A fully-staffed org unit is silently absent from the console."
Org & Positions,process-owner,LIVE,LIVE,CONFIRMED,GET /v1/blueprint-processes?limit=200 | GET /v1/organization-unit-processes/by-process/{id},sys.sys_blueprint_process_registry | sys.sys_organization_unit_processes | sys.sys_organization_units,,"Page (process-owner/page.tsx:66-79) reads GET /v1/blueprint-processes?limit=200 + drill-down /v1/organization-unit-processes/by-process/:id; no mock/initialData (grep clean). listProcesses (repository.ts:40) SELECTs global sys_blueprint_process_registry; listOusForProcess (organization-unit-processes/repository.ts:152) JOINs sys_organization_unit_processes + sys_organization_units, tenant-filtered (I5, scope.tenantId unless PLATFORM). Independent psql: blueprint registry total=23 (name_notnull=23); RTL org-unit-processes total=105, distinct_processes=23 (every process has RACI), role distribution CONTRIBUTOR=30/CONSULTED=29/OWNER=23/INFORMED=23 — exact match to auditor. Both list and RACI drill-down serve real data. Verdict stands."
Skills & Gaps,skills,LIVE,LIVE,CONFIRMED,GET /v1/skills?limit=200,sys.sys_skills,Catalog is tenant-owned not global (skill_is_global=0 across whole DB); fine for an RTL actor (5618 visible) but a tenant with zero own skills + zero globals would see empty-state. Not a gap for RTL_BANK.,"No initialData/placeholderData/mock anywhere. skills/page.tsx:42-45 useQuery -> apiFetch('/v1/skills?limit=200'); skills/repository.ts listSkills (lines 61-102) reads sys.sys_skills with visibility WHERE (skill_is_global OR skill_tenant_id=$tenant). Rendered columns code/name/scope are NOT NULL by schema and all supplied by toSkill(). psql re-run: sys_skills total=21939, global_true=0, tenant_owned(=RTL 86ba7a65-...)=5618. The page paginates 200 of 5618 real RTL-visible rows. CAVEAT (not a downgrade for RTL): of 21939 catalog rows, ~16321 are NEITHER global NOR tenant-owned (skill_is_global=0 AND skill_tenant_id IS NULL) so they are invisible to EVERY tenant via the filter; and skill_is_global=0 across the whole DB means a tenant with zero own skills sees an empty catalog. RTL is fine (5618 visible)."
