skill_name,esco_skill_uri_ref,learning_module_title,learning_module_kind,learning_module_delivery,duration_minutes,target_proficiency,mapping_metadata_note,source_url
JavaScript,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript Essentials: Programming Fundamentals,COURSE,SELF_PACED,1200,COMPETENT,DigComp 3.4 programming; beginner-to-intermediate path,https://esco.ec.europa.eu/en/classification/skill_main
JavaScript,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,Advanced JavaScript and Asynchronous Patterns,COURSE,SELF_PACED,1800,PROFICIENT,advanced tier of the same ESCO skill,https://www.coursera.org/courses?query=javascript
use markup languages,http://data.europa.eu/esco/skill/d3da33d3-d2bb-4a6f-9bf2-1e9b8d8d2e11,HTML5 and CSS3 Web Markup Foundations,COURSE,SELF_PACED,900,BASIC,DigComp digital content creation,https://esco.ec.europa.eu/en/classification/skill_main
Python (computer programming),http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python for Everybody: Programming Foundations,COURSE,SELF_PACED,2400,COMPETENT,widely-cited beginner Python path,https://www.coursera.org/professional-certificates
SQL,http://data.europa.eu/esco/skill/2cd9b2f3-3f0d-4c2e-8c7c-7e1b2cba0a11,Relational Databases and SQL Querying,COURSE,SELF_PACED,1500,PROFICIENT,data literacy + querying,https://www.edx.org/courses
perform data analysis,http://data.europa.eu/esco/skill/55a6c9f4-7b22-4d3e-9c5a-2f3e8a1c7b22,Data Analysis with Spreadsheets and Statistics,COURSE,SELF_PACED,2100,COMPETENT,DigComp information and data literacy,https://blog.coursera.org/introducing-career-learning-paths/
data mining,http://data.europa.eu/esco/skill/7c4f9e21-1b8d-4a6c-9e3f-5d2c7a8b4f10,Introduction to Data Science and Mining,COURSE,SELF_PACED,2700,PROFICIENT,Data Science career learning path,https://blog.coursera.org/introducing-career-learning-paths/
machine learning,http://data.europa.eu/esco/skill/8d5fa132-2c9e-4b7d-af40-6e3d8b9c5g21,Foundations of Machine Learning,COURSE,SELF_PACED,3000,PROFICIENT,advanced data science tier,https://www.edx.org/certificates/professional-certificate
ICT project management,http://data.europa.eu/esco/skill/9e6fb243-3daf-4c8e-bf51-7f4e9cad6h32,Agile Project Management Fundamentals,COURSE,SELF_PACED,1800,COMPETENT,Agile Project Management career path,https://blog.coursera.org/introducing-career-learning-paths/
manage project management,http://data.europa.eu/esco/skill/af70c354-4ebf-4d9f-cf62-8g5fadbe7i43,Project Management Professional (PMP) Preparation,COURSE,SELF_PACED,3600,EXPERT,management/expert tier,https://www.coursera.org/courses?query=project+management
