code,name,description,formula,unit,polarity,source_url
HR_TURNOVER_RATE,Employee Turnover Rate,Percentage of employees who leave the organization during a given period; core retention health indicator.,(Number of leavers in period / Average number of employees in period) * 100,percent,LOWER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_RETENTION_RATE,Employee Retention Rate,Percentage of employees remaining with the organization over a specified timeframe.,((Starting employees - Separations) / Starting employees) * 100,percent,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_TIME_TO_HIRE,Time to Hire,Average elapsed days from job posting to candidate offer acceptance.,Sum(Offer acceptance date - Job posting date) / Number of hires,days,LOWER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_TIME_TO_FILL,Time to Fill,Average days to complete the hiring process from requisition open to position filled.,Date position filled - Date position opened,days,LOWER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_COST_PER_HIRE,Cost per Hire,Total recruiting and onboarding spend divided by number of hires.,Total recruiting costs / Number of hires,currency,LOWER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_ABSENTEEISM_RATE,Absenteeism Rate,Share of scheduled workdays lost to unplanned absence (sickness or other leave).,(Total workdays lost to absence / Total scheduled workdays) * 100,percent,LOWER_IS_BETTER,https://www.aihr.com/blog/absenteeism-rate/
HR_OFFER_ACCEPTANCE_RATE,Offer Acceptance Rate,Percentage of job offers extended that candidates accept.,(Number of offers accepted / Number of offers extended) * 100,percent,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_INTERNAL_MOBILITY_RATE,Internal Mobility Rate,Percentage of roles filled by internal moves or promotions; talent-development effectiveness.,(Number of internal promotions and transfers / Total employees) * 100,percent,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_TRAINING_COST_PER_EMPLOYEE,Training Cost per Employee,Average learning and development investment per employee trained.,Total training expenses / Number of employees trained,currency,TARGET_RANGE,https://kpidepot.com/kpi/training-cost-per-employee
HR_TRAINING_HOURS_PER_EMPLOYEE,Training Hours per Employee,Average formal training hours delivered per employee in the period.,Total training hours delivered / Total number of employees,hours,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_REVENUE_PER_EMPLOYEE,Revenue per Employee,Total revenue divided by headcount (FTE preferred); workforce productivity indicator.,Total company revenue / Number of FTE employees,currency,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_ENPS,Employee Net Promoter Score,Likelihood employees recommend the organization as a place to work (promoters minus detractors).,(Percent promoters) - (Percent detractors),score,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_ENGAGEMENT_SCORE,Employee Engagement Score,Aggregate engagement survey score expressing workforce commitment and motivation.,Average of engagement survey item scores,score,HIGHER_IS_BETTER,https://www.bamboohr.com/blog/key-hr-metrics
HR_SPAN_OF_CONTROL,Span of Control,Average number of direct reports per people-manager.,Total employees managed / Number of managers,count,TARGET_RANGE,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_OVERTIME_RATE,Overtime Rate,Proportion of total hours worked beyond standard schedules; workload-sustainability signal.,(Total overtime hours / Total hours worked) * 100,percent,LOWER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_DIVERSITY_RATIO,Workforce Diversity Ratio,Share of headcount from under-represented demographic groups.,(Employees from under-represented groups / Total employees) * 100,percent,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_NEW_HIRE_RETENTION_90D,New Hire Retention (90 days),Percentage of new hires still employed 90 days after start date; onboarding quality.,(New hires retained at 90 days / Total new hires in cohort) * 100,percent,HIGHER_IS_BETTER,https://www.bamboohr.com/blog/key-hr-metrics
HR_PROMOTION_RATE,Promotion Rate,Percentage of employees promoted during the period.,(Number of employees promoted / Total employees) * 100,percent,HIGHER_IS_BETTER,https://www.bamboohr.com/blog/key-hr-metrics
HR_GOAL_ACHIEVEMENT_RATE,Goal Achievement Rate,Percentage of assigned performance goals met or exceeded in the review cycle.,(Goals achieved / Total goals assigned) * 100,percent,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
HR_TRAINING_COMPLETION_RATE,Training Completion Rate,Percentage of assigned learning programs completed by employees.,(Training programs completed / Training programs assigned) * 100,percent,HIGHER_IS_BETTER,https://www.clearpointstrategy.com/blog/human-capital-kpis-scorecard-measures
