area,location,category,severity,is_real,final,quote,action,fix,record
Docs attivi (SoT/ADR/README/CL,docs/product/WORKITEM_GAP1_PHASE0_VERIFICATION.md:37,DOC_CONTRADICTION,high,True,CONFIRMED_CONTRADICTION,"RACI — sovrastima di maturità. Modulo reale ma ""RACI-style"" a ruolo singolo e popolazione **demo su tenant TEST** (""NOT ","Riformulare riga 37: rimuovere 'tenant TEST' e 'NOT production truth'/'non dati di produzione'. La sostanza tecnica reale e' la SOTTO-POPOLAZIONE (12 righe RACI vs popolazione piena), non un ambiente ","Riformulare riga 37: rimuovere 'demo su tenant TEST', ""NOT production truth"", 'non dati di produzione'. Sostanza reale = RACI-style a ruolo singolo (non matrice",active
Docs attivi (SoT/ADR/README/CL,docs/product/WORKITEM_GAP1_PERSPECTIVES_AND_SCORECARD.md:53,DOC_CONTRADICTION,high,True,CONFIRMED_CONTRADICTION,Ogni fase si chiude **solo** con dimostrazione live su tenant di test reale (RTL_BANK): output reale allegato (comando +,"Sostituire 'tenant di test reale (RTL_BANK)' con 'tenant di produzione RTL Bank (customer-example, dati trattati come reali — ADR-0026)'. Il resto della clausola DoD e' gia conforme.","Sostituire 'tenant di test reale (RTL_BANK)' con 'tenant di produzione RTL Bank (customer-example, dati trattati come reali — ADR-0026 §2.2/§2.3)'. Il resto del",active
Docs attivi (SoT/ADR/README/CL,docs/integrations/agent_sdk_mcp_integration_plan_2026-06-15.md:113,DOC_CONTRADICTION,medium,True,CONFIRMED_CONTRADICTION,"Ogni WI sotto si chiude SOLO con una **dimostrazione live E2E su dati reali** (tenant di TEST), output reale allegato (R","Eliminare l'inciso '(tenant di TEST)' o sostituirlo con '(sul tenant di produzione RTL Bank, trattato come dato reale — ADR-0026)'. Verificare anche §0.5/safety del medesimo piano (il SOT_BACKLOG §0.5","Eliminare l'inciso '(tenant di TEST)' o sostituirlo con '(sul tenant di produzione RTL Bank, dati trattati come reali — ADR-0026)'.",active
Docs attivi (SoT/ADR/README/CL,"docs/kb/improvement/DOSSIERS/D-14.md:65,67,80,94,111",DOC_CONTRADICTION,medium,True,CONFIRMED_CONTRADICTION,"il vincolo DoD (`CLAUDE.md`): la dimostrazione del provisioning/GDPR avviene su **tenant di TEST**, mai produzione, mai ","Riallineare le 5 occorrenze: rimuovere 'tenant di TEST'/'mai produzione' e usare 'tenant di produzione RTL Bank (dati trattati come reali, ADR-0026)'. A riga 94 correggere l'attribuzione: CLAUDE.md §D","Riallineare le 5 occorrenze: 'tenant di TEST'/'mai produzione' -> 'tenant di produzione RTL Bank (dati trattati come reali, ADR-0026)'. A riga 94 correggere l'a",active
Docs attivi (SoT/ADR/README/CL,docs/kb/COWORK_INBOX.md:127-128,DOC_CONTRADICTION,low,False,HISTORICAL_RECORD,"**Write-live (gated)**: scrittura reale, approvata human-in-the-loop, **applicata** a un tenant (di test) reale, osserva","Non modificare il testo del record (audit trail immutabile). Se si vuole zero-ambiguita', appendere una NUOVA entry inbox o una nota '[SUPERSEDED-BY ADR-0026 2026-06-22]' accanto, senza riscrivere lo ","none (record storico immutabile). Opzionale, zero-ambiguita: appendere una NUOVA nota '[SUPERSEDED-BY ADR-0026 2026-06-22]' accanto, senza riscrivere lo storico",historical_record
"Docs storici/record (sessioni,",qa_artifacts/dbms_health_2026-06-22/FINAL_REPORT.md:116,DOC_CONTRADICTION,high,True,CONFIRMED_CONTRADICTION,"### P2 — Gap-DATI azionabili (popolamento su tenant di TEST, mai produzione)","Riscrivere l'header P2 da 'popolamento su tenant di TEST, mai produzione' a 'popolamento su RTL Bank (tenant di produzione customer-example) per ruolo, mai sul tenant di sistema Heuresys' (coerente AD","Riscrivere l'header P2 in: '### P2 — Gap-DATI azionabili (popolamento su RTL Bank, tenant di produzione customer-example, per ruolo — mai sul tenant di sistema ",active
"Docs storici/record (sessioni,","docs/kb/improvement/DOSSIERS/D-14.md:65,67,80,94,111",DOC_CONTRADICTION,high,True,CONFIRMED_CONTRADICTION,"la dimostrazione del provisioning/GDPR avviene su **tenant di TEST**, mai produzione, mai mock — coerente con ""LIVE DATA","Aggiornare le occorrenze 'tenant di TEST, mai produzione' in 'tenant di produzione customer-example RTL Bank, per ruolo' (e 'mai sul tenant di sistema Heuresys' al posto di 'mai produzione'). Allinear","Sostituire le 4 occorrenze attive 'tenant di TEST'/'tenant di TEST, mai produzione' (L65/67/94/111) con 'RTL Bank (tenant di produzione customer-example, scritt",active
"Docs storici/record (sessioni,",docs/kb/improvement/DOSSIERS/D-11.md:68,DOC_CONTRADICTION,medium,True,CONFIRMED_CONTRADICTION,ri-provare un onboarding Wave end-to-end su tenant di TEST per la DoD live-data,Sostituire 'su tenant di TEST per la DoD live-data' con 'su RTL Bank (tenant prod customer-example) per la DoD live-data'. Coerente con ADR-0026: un solo ambiente = produzione.,Sostituire 'su tenant di TEST per la DoD live-data' con 'su RTL Bank (tenant di produzione customer-example) per la DoD live-data'. Lasciare invariato 'buildTes,active
"Docs storici/record (sessioni,",docs/kb/COWORK_INBOX.md:127-128,DOC_CONTRADICTION,medium,True,HISTORICAL_RECORD,"**Write-live (gated)**: scrittura reale, approvata human-in-the-loop, **applicata** a un tenant (di test) reale, osserva","NON riscrivere il corpo del record storico (e' la fedele trascrizione della regola del 2026-06-15). Aggiungere invece una nota di reconciliation in coda ('aggiornamento ADR-0026: ""tenant (di test) rea","Nessuna riscrittura del corpo (record storico fedele, gia' RICONCILIATO). Opzionale: una nota di reconciliation in coda all'entry — 'NB ADR-0026 (2026-06-22): """,historical_record
"Docs storici/record (sessioni,",cowork_code_exchange/_00_HANDOVER_CLI_2026-05-26_post_S937.md:322-334 (e gemelli sessioni/session_2026-05-26_s937_housekeeping/HANDOVER_CLI.md:322-334),TERMINOLOGY,low,False,(no-verify),### Seed personas (test admin + 5 personas) ... | `tenant_admin_test@rtl-bank.test` | TENANT_ADMIN | RTL_BANK_REFERENCE ,"Lasciare invariato (record storico fedele). Se si vuole evitare che venga letto come guida attiva, aggiungere una riga di nota 'OBSOLETO post-S950: queste *.test sono state eliminate, personas reali =",,historical_record
